SI,Emoji Unicode,Emoji Name,Emoji Character
99,U+1F1EB-U+1F1F0,:Falkland_Islands:,🇫🇰
100,U+1F1EB-U+1F1F4,:Faroe_Islands:,🇫🇴
101,U+1F1EB-U+1F1EF,:Fiji:,🇫🇯
102,U+1F1EB-U+1F1EE,:Finland:,🇫🇮
103,U+1F1EB-U+1F1F7,:France:,🇫🇷
104,U+1F1EC-U+1F1EB,:French_Guiana:,🇬🇫
105,U+1F1F5-U+1F1EB,:French_Polynesia:,🇵🇫
106,U+1F1F9-U+1F1EB,:French_Southern_Territories:,🇹🇫
107,U+1F1EC-U+1F1E6,:Gabon:,🇬🇦
108,U+1F1EC-U+1F1F2,:Gambia:,🇬🇲
109,U+264A,:Gemini:,♊
110,U+1F1EC-U+1F1EA,:Georgia:,🇬🇪
111,U+1F1E9-U+1F1EA,:Germany:,🇩🇪
112,U+1F1EC-U+1F1ED,:Ghana:,🇬🇭
113,U+1F1EC-U+1F1EE,:Gibraltar:,🇬🇮
114,U+1F1EC-U+1F1F7,:Greece:,🇬🇷
115,U+1F1EC-U+1F1F1,:Greenland:,🇬🇱
116,U+1F1EC-U+1F1E9,:Grenada:,🇬🇩
117,U+1F1EC-U+1F1F5,:Guadeloupe:,🇬🇵
118,U+1F1EC-U+1F1FA,:Guam:,🇬🇺
119,U+1F1EC-U+1F1F9,:Guatemala:,🇬🇹
120,U+1F1EC-U+1F1EC,:Guernsey:,🇬🇬
121,U+1F1EC-U+1F1F3,:Guinea:,🇬🇳
122,U+1F1EC-U+1F1FC,:Guinea-Bissau:,🇬🇼
123,U+1F1EC-U+1F1FE,:Guyana:,🇬🇾
124,U+1F1ED-U+1F1F9,:Haiti:,🇭🇹
125,U+1F1ED-U+1F1F2,:Heard_&_McDonald_Islands:,🇭🇲
126,U+1F1ED-U+1F1F3,:Honduras:,🇭🇳
127,U+1F1ED-U+1F1F0,:Hong_Kong_SAR_China:,🇭🇰
128,U+1F1ED-U+1F1FA,:Hungary:,🇭🇺
129,U+1F194,:ID_button:,🆔
130,U+1F1EE-U+1F1F8,:Iceland:,🇮🇸
131,U+1F1EE-U+1F1F3,:India:,🇮🇳
132,U+1F1EE-U+1F1E9,:Indonesia:,🇮🇩
133,U+1F1EE-U+1F1F7,:Iran:,🇮🇷
134,U+1F1EE-U+1F1F6,:Iraq:,🇮🇶
135,U+1F1EE-U+1F1EA,:Ireland:,🇮🇪
136,U+1F1EE-U+1F1F2,:Isle_of_Man:,🇮🇲
137,U+1F1EE-U+1F1F1,:Israel:,🇮🇱
138,U+1F1EE-U+1F1F9,:Italy:,🇮🇹
139,U+1F1EF-U+1F1F2,:Jamaica:,🇯🇲
140,U+1F1EF-U+1F1F5,:Japan:,🇯🇵
141,U+1F251,:Japanese_acceptable_button:,🉑
142,U+1F238,:Japanese_application_button:,🈸
143,U+1F250,:Japanese_bargain_button:,🉐
144,U+1F3EF,:Japanese_castle:,🏯
145,U+3297-U+FE0F,:Japanese_congratulations_button:,㊗️
146,U+3297,:Japanese_congratulations_button:,㊗
147,U+1F239,:Japanese_discount_button:,🈹
148,U+1F38E,:Japanese_dolls:,🎎
149,U+1F21A,:Japanese_free_of_charge_button:,🈚
150,U+1F201,:Japanese_here_button:,🈁
151,U+1F237-U+FE0F,:Japanese_monthly_amount_button:,🈷️
152,U+1F237,:Japanese_monthly_amount_button:,🈷
153,U+1F235,:Japanese_no_vacancy_button:,🈵
154,U+1F236,:Japanese_not_free_of_charge_button:,🈶
155,U+1F23A,:Japanese_open_for_business_button:,🈺
156,U+1F234,:Japanese_passing_grade_button:,🈴
157,U+1F3E3,:Japanese_post_office:,🏣
158,U+1F232,:Japanese_prohibited_button:,🈲
159,U+1F22F,:Japanese_reserved_button:,🈯
